Zone, Aisle, Rack, Level, Amount
A,1,0,3,29
A,1,1,2,29
A,1,2,1,28
A,1,0,2,17
A,1,1,1,28
A,1,2,0,28
A,1,1,3,29
A,1,2,2,14
A,0,0,2,28
A,0,1,1,13
A,0,1,0,29
A,0,0,3,26
A,0,2,1,25
A,1,0,1,29
A,1,1,0,29
A,1,0,0,11
B,1,2,3,28
B,1,2,2,22
B,1,2,1,6
B,1,1,1,29
B,1,1,0,28
B,0,0,3,27
B,0,1,2,29
B,0,2,1,8
B,1,0,0,7
B,0,0,2,29
B,0,1,1,10
B,0,2,0,29
B,0,1,3,29
